model,lineage,final_corpus_group,objective,domain,lineage_detail,architecture,adapter,revision,repo_id,vocab_size,primary_pooling,config_sha256,vocab_sha256,source_url
specter,SciBERT,S2_citations,citation_document_contrast,scientific,SciBERT cased tokenizer ancestry; pinned tokenizer nevertheless lowercases,bert:12:768:12,False,81cbfb43d4fc2e728d5b4201ce14987db8d0854c,allenai/specter,31116,cls,6bbfb71747935be052561b95cfeb1450ace786225f0a5379bb0e2b79604c33e2,f99aae27d5a572628760968078207b9d79ff241cc75de4b9e4323feabc61fd6b,https://huggingface.co/allenai/specter/tree/81cbfb43d4fc2e728d5b4201ce14987db8d0854c
specter2,SciBERT,S2_citations,citation_document_contrast,scientific,SciBERT uncased plus SciRepEval proximity adapter,bert:12:768:12,True,3447645e1def9117997203454fa4495937bfbd83,allenai/specter2_base,31090,cls,6d9d68ca2bfeca756fd807e7c81e8e9d3203d8a002dff19cc42b29edd48e8802,f0a650346e51ede8996710f79ba65d83fdb8da05b159f17037b74ba4e3a36c6f,https://huggingface.co/allenai/specter2_base/tree/3447645e1def9117997203454fa4495937bfbd83
scincl,SciBERT,S2_citations,citation_document_contrast,scientific,"SciBERT uncased, citation-neighborhood selection",bert:12:768:12,False,ebc5348d184ba2fc9beee69b4e394263fce57b2e,malteos/scincl,31090,cls,b1a28b1460d7f0b17e096540e0296e573c210868f7d06c90361bc49f52c597e5,69894f6b0401652e74f9f5bf7bf4b587c149a9aa08c094eaed0325889acc449f,https://huggingface.co/malteos/scincl/tree/ebc5348d184ba2fc9beee69b4e394263fce57b2e
scibert,SciBERT,S2_scientific_fulltext,masked_word,scientific,"Trained from scratch, SciVocab uncased",bert:12:768:12,False,24f92d32b1bfb0bcaf9ab193ff3ad01e87732fc1,allenai/scibert_scivocab_uncased,31090,mean,488e7dbd68e27a38337ecb16358810da6df4226ac3b8880a0fde44bfdc37ccf0,f0a650346e51ede8996710f79ba65d83fdb8da05b159f17037b74ba4e3a36c6f,https://huggingface.co/allenai/scibert_scivocab_uncased/tree/24f92d32b1bfb0bcaf9ab193ff3ad01e87732fc1
bert,BERT,Books_Wikipedia,masked_word,general,BERT base uncased,bert:12:768:12,False,86b5e0934494bd15c9632b12f734a8a67f723594,google-bert/bert-base-uncased,30522,mean,7160e1553ad2ca51d8c1cb066be533db31826e12d173824c1bb0cb1a4f187d20,07eced375cec144d27c900241f3e339478dec958f92fddbc551f295c992038a3,https://huggingface.co/google-bert/bert-base-uncased/tree/86b5e0934494bd15c9632b12f734a8a67f723594
mpnet,MPNet,ST_1B_pairs,sentence_pair_contrast,general,MPNet base plus all-1B sentence-pair training,mpnet:12:768:12,False,e8c3b32edf5434bc2275fc9bab85f82640a19130,sentence-transformers/all-mpnet-base-v2,30527,mean,d46a3e04ded82bba22528424480697d394eeda6a27484e08c5bb2bdf5906cfa0,dbd90cb94e2247bd4d4ccaecbf616d2290e66691d7d5e5bb81f063c2d0649ada,https://huggingface.co/sentence-transformers/all-mpnet-base-v2/tree/e8c3b32edf5434bc2275fc9bab85f82640a19130
minilm,MiniLM,ST_1B_pairs,sentence_pair_contrast,general,"nreimers MiniLM L6 H384, distillation; not the same architecture as BERT base",bert:6:384:12,False,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,sentence-transformers/all-MiniLM-L6-v2,30522,mean,953f9c0d463486b10a6871cc2fd59f223b2c70184f49815e7efbcab5d8908b41,07eced375cec144d27c900241f3e339478dec958f92fddbc551f295c992038a3,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/tree/1110a243fdf4706b3f48f1d95db1a4f5529b4d41
pubmedbert,PubMedBERT,PubMed_PMC,masked_word,biomedical,Trained from scratch on abstracts plus fulltext,bert:12:768:12,False,e1354b7a3a09615f6aba48dfad4b7a613eef7062,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,30522,mean,56bab767c02bc792897638feb8addc06d483d9c73769a5f554bbabea1f5507a1,79489a52be45e6fa033521e8ce8e4f62aedc0a742ee2aa6fc04667e5b0b1454d,https://huggingface.co/microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext/tree/e1354b7a3a09615f6aba48dfad4b7a613eef7062
biobert,BERT,PubMed,masked_word,biomedical,"BERT base cased followed by PubMed continued pretraining, v1.1",bert:12:768:12,False,551ca18efd7f052c8dfa0b01c94c2a8e68bc5488,dmis-lab/biobert-v1.1,28996,mean,d506e8d0cfd5223472678e897cb294f6765d2e4695d39445a6e486cf853e62e8,eeaa9875b23b04b4c54ef759d03db9d1ba1554838f8fb26c5d96fa551df93d02,https://huggingface.co/dmis-lab/biobert-v1.1/tree/551ca18efd7f052c8dfa0b01c94c2a8e68bc5488
simcse,BERT,Wikipedia,dropout_sentence_contrast,general,BERT base uncased plus unsupervised dropout contrast,bert:12:768:12,False,218baf6bc48c463a53f5b4e1c568299537fab124,princeton-nlp/unsup-simcse-bert-base-uncased,30522,cls,eb1da67179cf7650155a2681436ed454ad3a3acdf4568e1829e8940e5c21562e,07eced375cec144d27c900241f3e339478dec958f92fddbc551f295c992038a3,https://huggingface.co/princeton-nlp/unsup-simcse-bert-base-uncased/tree/218baf6bc48c463a53f5b4e1c568299537fab124
