claim_id,paragraph,source,source_sha256,selector,json_pointer,values,displayed,limit
E01,R21,reports/analysis_v1/final/summary.json,08121543b6e00e0ad4417afa175bebcf06744a1c7f7eb6565880bf5b47e69258,,neighbors/25/cell_pair_overlap/mean,0.30285281102053363,30.3%,Balanced cell-pair average; full within-cell candidate universes
E02,R21,reports/analysis_v1/final/summary.json,08121543b6e00e0ad4417afa175bebcf06744a1c7f7eb6565880bf5b47e69258,,equal_neighbors/mean/25/mean,0.3185958667200855,31.9%,2048 candidates per cell; not the 256 paired-scope experiment
E03,R22,reports/robustness_v2/final/tables/structure_paired_scope_summary.csv,9dbb4767b7bed804f30abb73fb13393de1aec77301d7f01a19c0a93edc044f8b,"{""k"": ""25""}",,"{""mean_difference"": ""-0.013491809523809526"", ""subfields"": ""217"", ""subfields_higher_agreement"": ""90"", ""subfields_lower_agreement"": ""127""}",127 lower / 90 higher of 217; -1.35 percentage points,Same 50 queries included in each 256 candidate set; ten selections
E04,R23,reports/robustness_v2/final/tables/structure_paired_scope_summary.csv,9dbb4767b7bed804f30abb73fb13393de1aec77301d7f01a19c0a93edc044f8b,"{""k"": ""50""}",,"{""subfields"": ""217"", ""subfields_higher_agreement"": ""108"", ""subfields_lower_agreement"": ""109""}",109 lower / 108 higher of 217,Sensitivity to k; not an independent sample
E05,R32,reports/robustness_v2/final/tables/input_input_effect_summary.csv,c711e3e7e25b14caf72e09504d625782a6a5d2a733757f1692c4e357d9bdc9b1,"{""input_condition"": ""title"", ""measure"": ""model_change_at_full"", ""metric"": ""neighbors25""}",,"{""mean"": ""0.6875885128205128"", ""n"": ""260""}",68.76%,52000 shared IDs; 260 model-Field cases; mean recipe; close averages are not equivalence
E06,R32,reports/robustness_v2/final/tables/input_input_effect_summary.csv,c711e3e7e25b14caf72e09504d625782a6a5d2a733757f1692c4e357d9bdc9b1,"{""input_condition"": ""title"", ""measure"": ""input_change_from_full"", ""metric"": ""neighbors25""}",,"{""mean"": ""0.7067224615384615"", ""n"": ""260""}",70.67%,52000 shared IDs; 260 model-Field cases; mean recipe; close averages are not equivalence
E07,R32,reports/robustness_v2/final/tables/input_input_effect_summary.csv,c711e3e7e25b14caf72e09504d625782a6a5d2a733757f1692c4e357d9bdc9b1,"{""input_condition"": ""abstract"", ""measure"": ""input_change_from_full"", ""metric"": ""neighbors25""}",,"{""mean"": ""0.22117515384615385"", ""n"": ""260""}",22.12%,52000 shared IDs; 260 model-Field cases; mean recipe; close averages are not equivalence
E08,R32,reports/robustness_v2/final/tables/input_input_effect_summary.csv,c711e3e7e25b14caf72e09504d625782a6a5d2a733757f1692c4e357d9bdc9b1,"{""input_condition"": ""title"", ""measure"": ""model_change_at_full"", ""metric"": ""cka""}",,"{""mean"": ""0.3700110304488336"", ""n"": ""260""}",0.3700,52000 shared IDs; 260 model-Field cases; mean recipe; close averages are not equivalence
E09,R32,reports/robustness_v2/final/tables/input_input_effect_summary.csv,c711e3e7e25b14caf72e09504d625782a6a5d2a733757f1692c4e357d9bdc9b1,"{""input_condition"": ""title"", ""measure"": ""input_change_from_full"", ""metric"": ""cka""}",,"{""mean"": ""0.36581175517055636"", ""n"": ""260""}",0.3658,52000 shared IDs; 260 model-Field cases; mean recipe; close averages are not equivalence
E10,R32,reports/robustness_v2/final/tables/input_input_effect_summary.csv,c711e3e7e25b14caf72e09504d625782a6a5d2a733757f1692c4e357d9bdc9b1,"{""input_condition"": ""abstract"", ""measure"": ""input_change_from_full"", ""metric"": ""cka""}",,"{""mean"": ""0.026905011084109847"", ""n"": ""260""}",0.0269,52000 shared IDs; 260 model-Field cases; mean recipe; close averages are not equivalence
