id,exact_previous_claim_or_identified_gap,evidence,robustness_checks,status,required_wording
1,Models agree strongly about the arrangement of group centres.,centres_summary.csv; centres_size_rank_stability.csv,50 selecciones por tamaño; 128/256/512; omisiones,STRENGTHEN,"Se mantiene: 0,940 en áreas y 0,911 en especialidades con artículos repetidamente elegidos. Presentar rangos y tamaños."
2,"Random groups matched in size and dates also agree to some extent, around 0.63--0.64, but fall below the observed groups.",centres_random_reference.csv,50 referencias emparejadas por diseño; 500 en diseño anidado,STRENGTHEN,"Ninguna media de referencia alcanza la menor observada. Referencia descriptiva, no prueba nula. Aclarar diferencia de conjunto en la antigua referencia restringida."
3,"Inside groups, mean CKA is around 0.63 for areas and 0.64 for the same 183 specialties at all three sizes.",centres_summary.csv; structure_matched_size_agreement.csv,Centros repetidos; comparación con forma interna guardada,SUPPORT,La diferencia de objetos persiste; no atribuirla causalmente a la escala.
4,"Within the same area and period, two models retain an average of 30.3% of the 25 nearest neighbours.",quality_summary.csv,"Mismas consultas, filtros y candidatos igualados; k10/25/50",STRENGTHEN,"Se conserva el 30,3 % original, y se añade el cambio 30,58 a 31,43 % con las mismas consultas."
5,Using only the title instead of the title and abstract changes these neighbours about as much as changing models.,headline_summary.csv; headline_models.csv; headline_fields.csv,"50 selecciones equilibradas, k10/25/50, CLS/SEP",QUALIFY,"Solo una descripción de la media del conjunto: por modelo -14,04 a +16,59 puntos; las reglas CLS/SEP invierten el orden medio."
6,"Across the 325 comparisons between two areas, 262 have persistent opposite answers from at least two models for angular spread; 221 do for effective linear dimension.",morphology_classification.csv,Reproducción y cambio de referencia completo,SUPPORT,Recuentos originales reproducidos. Se identifican como resultados de esa representación; no se extienden al centrado.
7,These opposite results can persist when different articles are selected.,morphology_directions.csv; morphology_centering_witnesses.csv,26 selecciones originales y centradas; identidades y direcciones fijas,SUPPORT,Persistencia dentro de cada representación; no invariancia a cambiar la representación.
8,Alternative measures retain the same opposing models and their directions in 225 of the 262 angular comparisons and 196 of the 221 dimension comparisons.,dimension_alternative_retention.csv; model_panel_summary_full_alternatives.csv,Alternativas de dimensión ampliadas de tres a 26 condiciones,QUALIFY,"225 angulares sin cambios; dimensión: 209 con entropía, 190 con D80 y con ambas. Sustituir el 196 de cobertura parcial."
9,Processing choices can change the conclusion.,morphology_centering_summary.csv; morphology_centering_transitions.csv,"Centrado global y renormalización en 26 condiciones, cuatro cortes",QUALIFY,"Matiz material para apertura: 262 a 151; mismos modelos/direcciones 128. Al 5 %, 96 a 11. No afirmar que las comparaciones angulares resisten este procesamiento. PR conserva 204 originales y da 211 totales."
10,"The source-quality filter has not yet directly tested the main neighbour conclusion. [Gap identified by the independent review, not a claim of the previous text.]",quality_summary.csv; quality_fields.csv; quality_model_pairs.csv,448.886 registros; búsquedas completas y tamaños fijos,SUPPORT,"El filtro probado no explica la mayor parte del desacuerdo. Aumenta 0,85 puntos con las mismas consultas; 0,28 y 0,19 a tamaño fijo. No generalizar a errores no detectados."
11,Increasing the number of articles from 128 to 512 changes these means little.,structure_subfield_stability_summary.csv,Revisión de alertas y denominadores; sin cambiar el umbral,QUALIFY,"Añadir al cuerpo 2.628/8.235 (31,9 %) de alertas locales; la estabilidad media no se atribuye a cada comparación."
