outcome,family_a,family_b,model_pairs,mean
cka_primary,citation_document,citation_document,3,0.7875419857318633
cka_primary,citation_document,masked_language,12,0.5420066941964948
cka_primary,citation_document,sentence_contrastive,9,0.6745764817526267
cka_primary,masked_language,masked_language,6,0.8007093388575829
cka_primary,masked_language,sentence_contrastive,12,0.5795519487818248
cka_primary,sentence_contrastive,sentence_contrastive,3,0.648582023164949
cka_equal2048,citation_document,citation_document,3,0.7875318438762445
cka_equal2048,citation_document,masked_language,12,0.542020252907366
cka_equal2048,citation_document,sentence_contrastive,9,0.6745860714763777
cka_equal2048,masked_language,masked_language,6,0.800687936296729
cka_equal2048,masked_language,sentence_contrastive,12,0.5795944029279496
cka_equal2048,sentence_contrastive,sentence_contrastive,3,0.648605996001409
cka_cls,citation_document,citation_document,3,0.7875419857318633
cka_cls,citation_document,masked_language,12,0.40251809492907115
cka_cls,citation_document,sentence_contrastive,9,0.6745764817526267
cka_cls,masked_language,masked_language,6,0.6400831123772882
cka_cls,masked_language,sentence_contrastive,12,0.44210171703747797
cka_cls,sentence_contrastive,sentence_contrastive,3,0.648582023164949
cka_sep,citation_document,citation_document,3,0.7875419857318633
cka_sep,citation_document,masked_language,12,0.47593465773199367
cka_sep,citation_document,sentence_contrastive,9,0.6745764817526267
cka_sep,masked_language,masked_language,6,0.47860472787604375
cka_sep,masked_language,sentence_contrastive,12,0.48359890506778985
cka_sep,sentence_contrastive,sentence_contrastive,3,0.648582023164949
cka_quality,citation_document,citation_document,3,0.7921480977972218
cka_quality,citation_document,masked_language,12,0.568354985987816
cka_quality,citation_document,sentence_contrastive,9,0.68287195308057
cka_quality,masked_language,masked_language,6,0.8135751656574809
cka_quality,masked_language,sentence_contrastive,12,0.6006558217200587
cka_quality,sentence_contrastive,sentence_contrastive,3,0.6581289274752705
neighbors_2048_mean_k25,citation_document,citation_document,3,0.4381997696314102
neighbors_2048_mean_k25,citation_document,masked_language,12,0.22989668469551283
neighbors_2048_mean_k25,citation_document,sentence_contrastive,9,0.36188426482371794
neighbors_2048_mean_k25,masked_language,masked_language,6,0.4694827473958334
neighbors_2048_mean_k25,masked_language,sentence_contrastive,12,0.26175996594551276
neighbors_2048_mean_k25,sentence_contrastive,sentence_contrastive,3,0.34949333934294885
neighbors_2048_cls_k25,citation_document,citation_document,3,0.4381997696314102
neighbors_2048_cls_k25,citation_document,masked_language,12,0.13619541266025645
neighbors_2048_cls_k25,citation_document,sentence_contrastive,9,0.36188426482371794
neighbors_2048_cls_k25,masked_language,masked_language,6,0.2718021083733974
neighbors_2048_cls_k25,masked_language,sentence_contrastive,12,0.15502832031249997
neighbors_2048_cls_k25,sentence_contrastive,sentence_contrastive,3,0.34949333934294885
neighbors_2048_sep_k25,citation_document,citation_document,3,0.4381997696314102
neighbors_2048_sep_k25,citation_document,masked_language,12,0.21086141576522435
neighbors_2048_sep_k25,citation_document,sentence_contrastive,9,0.36188426482371794
neighbors_2048_sep_k25,masked_language,masked_language,6,0.26121602063301286
neighbors_2048_sep_k25,masked_language,sentence_contrastive,12,0.22611837690304493
neighbors_2048_sep_k25,sentence_contrastive,sentence_contrastive,3,0.34949333934294885
