model,display_name,repo_id,revision,adapter_repo,adapter_revision,dimension,native_max_tokens,primary_pooling,text_format,native_input,reference,model_card,source
specter,SPECTER,allenai/specter,81cbfb43d4fc2e728d5b4201ce14987db8d0854c,,,768,512,cls,sep,title + abstract,cohan-etal-2020-specter,https://huggingface.co/allenai/specter,config/embeddings_v1.json; POOLING.md
specter2,SPECTER2,allenai/specter2_base,3447645e1def9117997203454fa4495937bfbd83,allenai/specter2,2081559630a80fc5851d8f798a05ba81e9468089,768,512,cls,sep,title + abstract,singh-etal-2023-scirepeval,https://huggingface.co/allenai/specter2_base,config/embeddings_v1.json; POOLING.md
scincl,SciNCL,malteos/scincl,ebc5348d184ba2fc9beee69b4e394263fce57b2e,,,768,512,cls,sep,title + abstract,ostendorff-etal-2022-neighborhood,https://huggingface.co/malteos/scincl,config/embeddings_v1.json; POOLING.md
scibert,SciBERT,allenai/scibert_scivocab_uncased,24f92d32b1bfb0bcaf9ab193ff3ad01e87732fc1,,,768,512,mean,blank_line,title + abstract,beltagy-etal-2019-scibert,https://huggingface.co/allenai/scibert_scivocab_uncased,config/embeddings_v1.json; POOLING.md
bert,BERT,google-bert/bert-base-uncased,86b5e0934494bd15c9632b12f734a8a67f723594,,,768,512,mean,blank_line,title + abstract,devlin-etal-2019-bert,https://huggingface.co/google-bert/bert-base-uncased,config/embeddings_v1.json; POOLING.md
mpnet,MPNet,sentence-transformers/all-mpnet-base-v2,e8c3b32edf5434bc2275fc9bab85f82640a19130,,,768,384,mean,blank_line,title + abstract,reimers-gurevych-2019-sentence; exact checkpoint model card,https://huggingface.co/sentence-transformers/all-mpnet-base-v2,config/embeddings_v1.json; POOLING.md
minilm,MiniLM,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,,,384,256,mean,blank_line,title + abstract,reimers-gurevych-2019-sentence; exact checkpoint model card,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,config/embeddings_v1.json; POOLING.md
pubmedbert,PubMedBERT / BiomedBERT,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,e1354b7a3a09615f6aba48dfad4b7a613eef7062,,,768,512,mean,blank_line,title + abstract,reff9ebfb9307,https://huggingface.co/microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,config/embeddings_v1.json; POOLING.md
biobert,BioBERT,dmis-lab/biobert-v1.1,551ca18efd7f052c8dfa0b01c94c2a8e68bc5488,,,768,512,mean,blank_line,title + abstract,ref4f3e28932e,https://huggingface.co/dmis-lab/biobert-v1.1,config/embeddings_v1.json; POOLING.md
simcse,SimCSE,princeton-nlp/unsup-simcse-bert-base-uncased,218baf6bc48c463a53f5b4e1c568299537fab124,,,768,512,cls,blank_line,title + abstract,gao-etal-2021-simcse,https://huggingface.co/princeton-nlp/unsup-simcse-bert-base-uncased,config/embeddings_v1.json; POOLING.md
